"","x"
"1",0.586744708282488
"2",0.586744708282488
"3",0.592578055113584
"4",0.592578055113584
"5",0.586744708282488
"6",0.592578055113584
"7",0.489714081440833
"8",0.517539276885381
"9",0.499253275913776
"10",0.502338083411465
"11",0.490218343505913
"12",0.425788574666447
"13",0.429662425318311
"14",0.452358950883997
"15",0.429520283377147
"16",0.431108953607517
"17",0.443101297953005
"18",0.415851571055507
"19",0.421336014431746
"20",0.429072416829105
"21",0.402910919643188
"22",0.414614728620944
"23",0.386876491331888
"24",0.417125103124571
"25",0.379258945100019
"26",0.397706087270824
"27",0.394602184999677
"28",0.373149705744349
"29",0.418505365020431
"30",0.404189226412551
"31",0.375916623210231
"32",0.387544100436354
"33",0.410493824415308
"34",0.418688840176249
"35",0.388219569173769
"36",0.384398552202493
"37",0.392350873198118
"38",0.402109725834987
"39",0.403968522605548
"40",0.390823969213387
"41",0.384080942822139
"42",0.394652446540291
"43",0.375188743640168
"44",0.399456082491809
"45",0.39485253428732
"46",0.40256370938734
"47",0.372706992543651
"48",0.352944350042997
"49",0.393642764206307
"50",0.395094618632895
"51",0.383612299534551
"52",0.380486286146603
"53",0.373825488668657
"54",0.407845916701577
"55",0.373374718059184
"56",0.38672619965108
"57",0.383305173925135
"58",0.389713852826512
"59",0.399283023977783
"60",0.368923264813579
