"","x"
"1",0.586744708282488
"2",0.592578055113584
"3",0.592578055113584
"4",0.586744708282488
"5",0.586744708282488
"6",0.592578055113584
"7",0.725893954169115
"8",0.737155877124953
"9",0.72591302970148
"10",0.705889050429225
"11",0.730887042415576
"12",0.767147343261532
"13",0.762414789374049
"14",0.776700677913258
"15",0.775240605930288
"16",0.772314700918212
"17",0.785512995470466
"18",0.792373109327312
"19",0.79619428090809
"20",0.791911071900552
"21",0.785408280422811
"22",0.806407046019441
"23",0.809834436650136
"24",0.806230912341277
"25",0.800956098466671
"26",0.812452017828785
"27",0.813846604343168
"28",0.809206844603377
"29",0.81315447923222
"30",0.815767468341435
"31",0.821853665188819
"32",0.807699402060744
"33",0.820185421974137
"34",0.818168149697978
"35",0.823945269734356
"36",0.817527719333155
"37",0.814816086310416
"38",0.817778915647676
"39",0.816698275321061
"40",0.817166530909184
"41",0.822205936896157
"42",0.81660283816391
"43",0.823990488037443
"44",0.821547101314642
"45",0.818660921642976
"46",0.821216617257885
"47",0.823724329495113
"48",0.820382460665236
"49",0.820644108128489
"50",0.831063956299884
"51",0.818115927883264
"52",0.820598061452552
"53",0.81973193211408
"54",0.826236381863844
"55",0.82684977286929
"56",0.824711995501002
"57",0.823922720505698
"58",0.825305941239816
"59",0.824673388044173
"60",0.826297233117288
