"","x"
"1",0.586744708282488
"2",0.586744708282488
"3",0.586744708282488
"4",0.586744708282488
"5",0.592578055113584
"6",0.592578055113584
"7",0.71966094140474
"8",0.729744044439559
"9",0.725076987717034
"10",0.733443126648285
"11",0.722340474287902
"12",0.770796561199693
"13",0.769362096746198
"14",0.763344907790714
"15",0.779173902369328
"16",0.77346287739069
"17",0.78544639385554
"18",0.801805922846224
"19",0.792029058534192
"20",0.789373052203781
"21",0.796428186084386
"22",0.801400682245987
"23",0.797515336413399
"24",0.803205626607
"25",0.804731791988601
"26",0.801284856216247
"27",0.813744863232942
"28",0.809858480906551
"29",0.816781904082133
"30",0.816527606510252
"31",0.813906598238834
"32",0.809313797740214
"33",0.81939996486934
"34",0.822366026769979
"35",0.816842339042746
"36",0.82107662499076
"37",0.81603817007217
"38",0.82014012639268
"39",0.820294381521244
"40",0.814385474004545
"41",0.828654786310177
"42",0.823168008581754
"43",0.823805633233322
"44",0.822373496878245
"45",0.825298054601735
"46",0.82412097771374
"47",0.819260210570522
"48",0.816913838111503
"49",0.821121306282688
"50",0.823200469618919
"51",0.824702926127519
"52",0.825019303175818
"53",0.81946741863333
"54",0.822764197048448
"55",0.820236450458469
"56",0.825572806734739
"57",0.823102276546941
"58",0.824409218048133
"59",0.824568958691228
"60",0.825538630473418
